Location,15-19,20-24,25-29,30-34,35-39,40-44,45-49
UNICEF PROGRAMME REGIONS,46.478,146.748,149.294,100.155,52.582,19.032,4.491
UNICEF Programme Regions: East Asia and Pacific (EAPRO),21.937,114.361,119.448,74.276,33.346,11.702,1.851
UNICEF Programme Regions: Eastern Caribbean,31.668,83.926,102.125,76.274,38.076,10.491,1.224
UNICEF Programme Regions: Eastern and Southern Africa (ESARO),94.725,198.858,204.63,163.989,112.889,53.067,16.778
UNICEF Programme Regions: Europe and Central Asia (CEECIS),28.222,122.769,129.029,87.017,40.411,7.793,0.759
UNICEF Programme Regions: Latin America,63.342,105.392,101.954,78.15,45.255,13.656,1.99
UNICEF Programme Regions: Latin America and Caribbean (LACRO),63.246,105.324,101.954,78.142,45.226,13.643,1.987
UNICEF Programme Regions: Middle East and North Africa (MENARO),43.22,133.517,158.197,131.538,86.814,32.802,7.695
UNICEF Programme Regions: South Asia (ROSA),25.549,158.756,159.82,89.665,32.572,10.91,3.56
UNICEF Programme Regions: West and Central Africa (WCARO),114.727,224.11,243.073,211.048,160.974,75.505,25.496
UNICEF REGIONS,42.537,134.695,141.421,100.357,53.065,17.766,3.781
UNICEF Regions: East Asia and Pacific,20.519,106.818,115.497,76.671,35.768,11.545,1.701
UNICEF Regions: Eastern Europe and Central Asia,26.219,112.36,124.63,87.529,41.661,8.377,0.66
UNICEF Regions: Eastern and Southern Africa,92.134,196.04,205.758,166.249,115.177,53.414,16.531
UNICEF Regions: Europe and Central Asia,17.18,75.913,106.914,96.318,51.385,11.321,0.801
UNICEF Regions: Latin America and Caribbean,63.02,105.185,101.864,78.103,45.175,13.61,1.975
UNICEF Regions: Middle East and North Africa,40.038,129.344,152.51,127.241,82.785,30.718,7.05
UNICEF Regions: North America,18.856,68.751,98.429,100.834,51.783,11.143,0.741
UNICEF Regions: South Asia,25.549,158.756,159.82,89.665,32.572,10.91,3.56
UNICEF Regions: Sub-Saharan Africa,102.848,209.107,222.962,186.866,136.409,63.736,20.729
UNICEF Regions: West and Central Africa,114.726,224.108,243.072,211.046,160.972,75.504,25.495
UNICEF Regions: Western Europe,8.221,39.204,87.647,105.697,60.707,13.875,0.91
UNITED NATIONS Regional Groups of Member States,42.53,134.657,141.387,100.322,53.037,17.754,3.781
Uganda,118.836,238.574,232.271,189.056,130.539,76.522,16.202
Ukraine,23.711,82.643,90.089,58.162,27.542,6.054,0.499
United Arab Emirates,6.546,49.692,77.045,77.796,52.975,17.856,2.09
United Kingdom,13.37,53.417,95.071,108.489,64.67,14.056,0.927
United Kingdom (and dependencies),13.374,53.392,95.063,108.387,64.543,14.024,0.927
United Nations Economic Commission for Africa (UN-ECA),95.026,200.562,213.407,177.157,126.887,57.442,17.714
United Nations Economic Commission for Latin America and the Caribbean (UN-ECLAC),63.02,105.185,101.864,78.102,45.175,13.61,1.975
United Nations Economic and Social Commission for Asia and the Pacific (UN-ESCAP) Regions,23.733,131.8,135.293,83.693,35.716,11.239,2.275
United Nations Member States,42.53,134.657,141.387,100.322,53.037,17.754,3.781
United Republic of Tanzania,118.385,231.385,226.007,188.342,145.288,64.57,10.763
United States Virgin Islands,28.887,99.63,133.755,69.966,60.76,15.589,0.573
United States of America,19.86,72.158,99.798,100.224,51.374,11.12,0.746
United States of America (and dependencies),19.965,72.239,99.564,99.758,51.096,11.056,0.74
Upper-middle-income countries,29.819,108.911,115.813,75.892,36.508,11.457,1.442
Uruguay,58.727,92.268,93.187,87.876,49.5,13.575,0.867
Uzbekistan,23.79,189.36,160.142,81.342,26.802,4.321,0.243
Vanuatu,49.437,188.816,201.47,155.985,103.6,47.316,13.376
Venezuela (Bolivarian Republic of),85.337,134.196,108.926,72.397,39.438,13.571,2.735
Viet Nam,30.929,114.303,135.148,85.484,34.904,9.234,1.118
WB region: East Asia and Pacific (excluding high income),21.937,114.361,119.448,74.277,33.346,11.702,1.851
WB region: Europe and Central Asia (excluding high income),26.37,112.993,124.905,87.456,41.617,8.374,0.662
WB region: Latin America and Caribbean (excluding high income),63.844,106.647,102.616,76.332,43.522,13.282,2.03
WB region: Middle East and North Africa (excluding high income),43.823,137.476,154.857,129.531,82.406,29.786,6.162
WB region: South Asia (excluding high income),25.549,158.756,159.82,89.665,32.572,10.91,3.56
WB region: Sub-Saharan Africa (excluding high income),102.956,209.314,223.144,186.972,136.516,63.826,20.778
WHO Regions,42.648,135.089,141.724,100.362,53.036,17.805,3.803
WHO: African region (AFRO),102.13,206.135,218.636,184.499,135.174,63.323,19.973
WHO: Americas (AMRO),49.867,93.777,100.793,85.597,47.406,12.785,1.531
WHO: Eastern Mediterranean Region (EMRO),46.504,158.281,183.349,143.928,83.01,29.811,8.507
WHO: European Region (EURO),17.09,76.211,107.461,97.033,51.884,11.485,0.819
WHO: South-East Asia region (SEARO),26.059,144.626,144.103,81.309,31.601,10.589,3.221
WHO: Western Pacific region (WPRO),14.392,108.438,115.407,72.571,31.849,10.663,1.296
West African Economic and Monetary Union (UEMOA),125.214,229.403,247.713,211.255,151.087,72.579,25.951
Western Africa,111.057,217.584,237.711,209.402,158.008,75.022,27.898
Western Asia,38.042,118.33,149.713,118.419,74.306,25.703,6.014
Western Europe,5.974,37.419,94.414,117.791,65.645,14.609,0.784
Western European and Others Group (WEOG),15.004,58.97,97.208,105.773,58.887,13.123,0.963
Western Sahara,23.27,83.039,119.185,116.103,86.632,41.271,13.48
World,42.537,134.695,141.421,100.357,53.065,17.766,3.781
World Bank Regional Groups (developing only),46.273,147.05,149.336,99.879,51.972,18.655,4.356
Yemen,60.352,169.276,178.662,155.707,119.515,62.102,21.826
Zambia,120.112,214.386,205.549,175.988,142.84,61.052,11.173
Zimbabwe,86.135,184.371,173.973,149.11,90.333,35.878,5.3
